artist_names,track_name,duration,source,mode,time_signature,key,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,target
"ZAYN, PARTYNEXTDOOR",Still Got Time (feat. PARTYNEXTDOOR),3.1415166666666665,RCA Records Label,Major,4,7.0,0.748,0.627,0.0639,0.131,0.0,0.0852,0.524,-6.029,120.963,0
Alessia Cara,Growing Pains,3.228,Def Jam Recordings,Minor,4,1.0,0.353,0.755,0.733,0.0822,0.0,0.39,0.437,-6.276,191.153,1
The Killers,Mr. Brightside,3.7162166666666665,Island Records,Major,4,1.0,0.352,0.911,0.0747,0.00121,0.0,0.0995,0.236,-5.23,148.033,1
"Cardi B, Chance the Rapper",Best Life (feat. Chance The Rapper),4.7476,Atlantic/KSR,Major,4,9.0,0.62,0.625,0.553,0.287,0.0,0.314,0.665,-7.438,167.911,1
"Post Malone, The Weeknd",One Right Now (with The Weeknd),3.2251166666666666,Republic Records,Major,4,1.0,0.687,0.781,0.053,0.0361,0.0,0.0755,0.688,-4.806,97.014,0
"Thalia, NATTI NATASHA",No Me Acuerdo,3.62755,Sony Music Latin,Minor,4,7.0,0.836,0.799,0.0873,0.187,0.0,0.092,0.772,-4.247,94.033,0
"Kygo, Donna Summer",Hot Stuff,3.3168,RCA Records Label,Major,4,5.0,0.681,0.773,0.148,0.019,1.28e-06,0.11,0.429,-5.749,119.961,0
"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz, Mc Menor Thalis",Baile do Bruxo,3.6923,Tropa Do Bruxo,Minor,5,7.0,0.734,0.228,0.53,0.889,0.00642,0.102,0.522,-4.731,162.524,1
YBN Nahmir,Bounce Out With That,1.51685,2018,Major,4,8.0,0.857,0.56,0.173,0.0426,0.0,0.153,0.482,-8.278,94.949,0
Brent Faiyaz,LOOSE CHANGE,3.76685,"Lost Kids LLC., Marketed by Venice / Stem",Minor,4,1.0,0.574,0.369,0.0814,0.753,0.0,0.147,0.44,-8.931,84.975,0
"Chance the Rapper, MadeinTYO, DaBaby",Hot Shower,3.7654,Chance the Rapper,Major,4,9.0,0.899,0.509,0.387,0.00157,0.0,0.0573,0.599,-8.04,150.001,1
"Jax Jones, RAYE",You Don't Know Me (feat. RAYE),3.5657833333333335,Polydor Records,Minor,4,11.0,0.876,0.669,0.138,0.163,0.0,0.185,0.682,-6.054,124.007,0
"KZA Produções, wonda",Maria Mariah,1.9692333333333334,wonda & oclody,Minor,4,11.0,0.648,0.873,0.334,0.194,5.13e-06,0.291,0.776,-0.56,130.003,1
Zach Bryan,East Side of Sorrow,3.4886666666666666,Warner Records,Major,4,10.0,0.408,0.607,0.0391,0.236,8.02e-05,0.0972,0.169,-7.463,144.136,1
Dua Lipa,Break My Heart,3.697,Warner Records,Minor,4,4.0,0.73,0.729,0.0884,0.167,1.39e-06,0.349,0.467,-3.434,113.011,0
"ScHoolboy Q, Travis Scott",CHopstix (feat. Travis Scott),3.019216666666667,Top Dawg Entertainment/Interscope Records,Minor,4,9.0,0.958,0.6,0.118,0.0391,0.0,0.274,0.607,-6.996,127.933,0
"Taylor Swift, Phoebe Bridgers",Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),4.31355,Taylor Swift,Major,4,0.0,0.606,0.377,0.0275,0.817,0.0,0.154,0.446,-9.455,101.96,0
Lil Tecca,Did It Again,1.9373333333333334,Republic Records,Major,4,1.0,0.699,0.575,0.159,0.218,0.0,0.112,0.234,-9.922,148.767,1
XXXTENTACION,NUMB,3.1044666666666667,"Bad Vibes Forever, LLC",Minor,4,11.0,0.414,0.416,0.0251,0.1,0.179,0.131,0.196,-8.024,159.91,1
BTS,Paradise,3.5204,BIGHIT MUSIC,Major,4,5.0,0.519,0.828,0.365,0.214,0.0,0.0571,0.929,-5.523,139.413,1
